Time,Power
03-16-01:12:09,95
03-16-01:12:29,95
03-16-01:12:49,95
03-16-01:13:09,95.25
03-16-01:13:29,94.75
03-16-01:13:49,94.25
03-16-01:14:09,94.25
03-16-01:14:29,94.25
03-16-01:14:49,94.5
03-16-01:15:09,94.25
03-16-01:15:29,94.25
03-16-01:15:49,94.25
03-16-01:16:09,94.25
03-16-01:16:29,94.25
03-16-01:16:49,95.25
03-16-01:17:09,95.75
03-16-01:17:29,95.25
03-16-01:17:49,95.75
03-16-01:18:09,95
03-16-01:18:29,95.25
03-16-01:18:49,94.75
03-16-01:19:09,94.25
03-16-01:19:29,94.25
03-16-01:19:49,94.25
03-16-01:20:09,94.25
03-16-01:20:29,94.5
03-16-01:20:49,94.5
03-16-01:21:09,94.25
03-16-01:21:29,94.25
03-16-01:21:49,94.25
03-16-01:22:09,94.5
03-16-01:22:29,94.25
03-16-01:22:49,94
03-16-01:23:09,94.5
03-16-01:23:29,94.5
03-16-01:23:49,95
03-16-01:24:10,95
03-16-01:24:29,96
03-16-01:24:49,95.75
03-16-01:25:09,95.5
03-16-01:25:29,95.5
03-16-01:25:50,96
03-16-01:26:09,96.25
03-16-01:26:29,95.75
03-16-01:26:49,95.25
03-16-01:27:09,95
03-16-01:27:29,95.25
03-16-01:27:50,95.5
03-16-01:28:09,95
03-16-01:28:29,95
03-16-01:28:49,95
03-16-01:29:10,95.25
03-16-01:29:29,95
03-16-01:29:49,94.75
03-16-01:30:10,94.75
03-16-01:30:29,94.25
03-16-01:30:50,94.75
03-16-01:31:10,94.25
03-16-01:31:30,94.5
03-16-01:31:50,94.75
03-16-01:32:10,94.25
03-16-01:32:30,94.5
03-16-01:32:50,94.5
03-16-01:33:10,94.5
03-16-01:33:30,94.25
03-16-01:33:50,94.75
03-16-01:34:10,94.5
03-16-01:34:30,94.5
03-16-01:34:50,94.25
03-16-01:35:10,94.5
03-16-01:35:30,94.25
03-16-01:35:50,94.5
03-16-01:36:10,94.25
03-16-01:36:30,94.5
03-16-01:36:50,94.5
03-16-01:37:10,94.25
03-16-01:37:30,94
03-16-01:37:50,94.25
03-16-01:38:10,94.25
03-16-01:38:30,94.25
03-16-01:38:50,94.25
03-16-01:39:10,94.5
03-16-01:39:30,94.25
03-16-01:39:50,94.5
03-16-01:40:10,94.25
03-16-01:40:30,94.25
03-16-01:40:50,94.25
03-16-01:41:10,94.5
03-16-01:41:30,94.5
03-16-01:41:50,94.25
03-16-01:42:10,94.25
03-16-01:42:31,94.25
03-16-01:42:50,94.5
03-16-01:43:10,94.5
03-16-01:43:30,94.25
03-16-01:43:50,94.25
03-16-01:44:10,94.25
03-16-01:44:30,94.25
03-16-01:44:50,94.25
03-16-01:45:10,94.25
03-16-01:45:30,94.25
03-16-01:45:50,94.25
03-16-01:46:11,94.25
03-16-01:46:30,94.5
03-16-01:46:50,94.25
03-16-01:47:10,94.25
03-16-01:47:31,94.5
03-16-01:47:51,94.5
03-16-01:48:11,94.25
03-16-01:48:31,94.25
03-16-01:48:51,94
03-16-01:49:11,94.25
03-16-01:49:31,94.5
03-16-01:49:51,94.25
03-16-01:50:11,94.25
03-16-01:50:30,94
03-16-01:50:51,94.25
03-16-01:51:11,94.5
03-16-01:51:31,101.25
03-16-01:51:51,99.5
03-16-01:52:11,98
03-16-01:52:31,97.5
03-16-01:52:51,96.5
03-16-01:53:11,95.5
03-16-01:53:31,95.25
03-16-01:53:51,95
03-16-01:54:11,94.75
03-16-01:54:31,94.25
03-16-01:54:51,94
03-16-01:55:11,94.5
03-16-01:55:31,94.25
03-16-01:55:51,94.25
03-16-01:56:11,94.25
03-16-01:56:31,94.25
